id,name,r,g,b,a
0,Unknown,0,0,0,0
1,V1_lower,100,0,190,0
2,V1_upper,100,0,200,0
3,V2_lower,60,20,240,0
4,V2_upper,60,20,250,0
5,V3,30,60,200,0
6,VP,30,60,220,0
7,DI,70,100,230,0
8,V3A,10,95,220,0
9,V3B,30,100,250,0
10,OPA,80,100,180,0
11,LO1,90,110,190,0
12,LO2,90,130,150,0
13,LO3,90,120,150,0
14,PGp,90,130,170,0
15,V6,35,150,185,0
16,V6A,35,130,195,0
17,aPOS,105,105,185,0
18,POm,110,110,230,0
19,ProS1,80,70,150,0
20,ProS2,90,80,120,0
21,MT_lower,35,175,175,0
22,MT_upper,40,180,180,0
23,MTc,50,140,180,0
24,MSTd,65,130,170,0
25,MSTv,70,150,195,0
26,FSTd,45,120,175,0
27,STV1,40,100,120,0
28,STV2,45,135,140,0
29,7b_PICv,50,165,165,0
30,"7b_PICv,s",50,195,165,0
31,V4v,45,65,245,0
32,hV4,75,75,180,0
33,V8,100,95,205,0
34,PITd,80,90,160,0
35,PH,95,115,160,0
36,FFC,115,125,160,0
37,VVC,125,135,175,0
38,VO2,135,75,140,0
39,VO1,145,95,150,0
40,V7,70,100,220,0
41,cIPS,70,90,170,0
42,LIP0,80,120,230,0
43,LIP1,90,140,240,0
44,PEc,90,160,185,0
45,IPS5,90,85,205,0
46,IPS4,100,95,240,0
47,aPCu1,115,75,150,0
48,aPCu2,145,100,160,0
49,VIP1v,70,170,170,0
50,"VIP1v,s",90,190,100,0
51,VIP2v,50,150,150,0
52,"VIP2v,s",100,200,110,0
53,dmFEF,120,80,210,0
54,FEF,50,200,110,0
55,6a,75,150,100,0
56,DLPFC,125,130,220,0
57,DLPFCa,105,110,190,0
58,A1,220,10,20,0
59,R,240,35,60,0
60,RT,250,65,90,0
61,CM,160,30,80,0
62,CL,190,30,85,0
63,MM,250,70,30,0
64,RM,250,95,30,0
65,ML,240,55,60,0
66,AL,240,85,80,0
67,RTL,240,100,90,0
68,TA2,180,85,90,0
69,TA3,165,65,80,0
70,CP,250,95,110,0
71,MPc,250,115,130,0
72,C_A4,165,115,70,0
73,MPr,220,135,170,0
74,M_A4,190,135,85,0
75,R_A4,185,125,65,0
76,RP,220,125,150,0
77,R_A5,150,90,85,0
78,M_A5,140,80,70,0
79,C_A5,110,80,70,0
80,3aud,230,130,70,0
81,43aud,215,150,70,0
82,PSaud1,240,85,130,0
83,PSaud2,230,105,120,0
84,dmFAF,250,125,125,0
85,p32aud,220,95,95,0
86,"PZa,v,s",190,105,85,0
87,"PZa,s",200,115,95,0
88,DLPFCaud,210,120,20,0
89,IFSp,180,95,10,0
90,45aud,200,145,20,0
91,FOPaud,220,145,35,0
92,3b_face,20,200,10,0
93,3b_hand,20,205,10,0
94,3b_foot,20,210,10,0
95,3a_face,40,220,25,0
96,3a_hand,50,230,35,0
97,3a_foot,60,240,45,0
98,1_face,40,210,30,0
99,1_hand,40,215,30,0
100,1_foot,40,225,30,0
101,2,70,255,80,0
102,5m,70,190,70,0
103,5L,80,170,80,0
104,PFt,100,190,100,0
105,pCI,90,160,90,0
106,S_II,100,160,45,0
107,PV,120,180,55,0
108,Ig,120,200,75,0
109,FOP2,120,220,75,0
110,"AIPv,s",70,200,95,0
111,PHt,55,215,80,0
112,4_face,10,190,15,0
113,4_hand,20,190,25,0
114,4_foot,30,190,35,0
115,6d,30,150,35,0
116,SMA1,65,160,60,0
117,SMA2,75,170,70,0